item name,Title,version,item,frame,order,prompt
Fire,Fire,unambiguous_covered,8,pos,ad,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire.""  Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage. Based on this definition, select your response to the following statement: Fatema is covered by the Fire policy. Agree or Disagree? Final answer is:"
Fire,Fire,controversial,8,pos,ad,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire.""  Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage. Based on this definition, select your response to the following statement: Fatema is covered by the Fire policy. Agree or Disagree? Final answer is:"
Flooding,Flood I,unambiguous_uncovered,9,pos,ad,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings."" Charlotte lives alone in a one-story home. One day, the waterbed in her bedroom begins to leak, causing a large volume of water to suddenly seep through her floors. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Charlotte is covered by the Flooding policy. Agree or Disagree? Final answer is:"
Flooding,Flood I,unambiguous_covered,9,pos,ad,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings."" Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Charlotte is covered by the Flooding policy. Agree or Disagree? Final answer is:"
Flooding,Flood I,controversial,9,pos,ad,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings."" Charlotte lives alone in a one-story home. One day, one of the rain barrels that she keeps next to her home begins to leak, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Charlotte is covered by the Flooding policy. Agree or Disagree? Final answer is:"
Flooding,Flood II,unambiguous_uncovered,10,pos,ad,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings."" Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of several years, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Rebecca is covered by the Flooding policy. Agree or Disagree? Final answer is:"
Flooding,Flood II,unambiguous_covered,10,pos,ad,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings."" Rebecca lives in a house situated next to a small creek. The water level of the creek quickly rises over the course of a few hours during a storm, and Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Rebecca is covered by the Flooding policy. Agree or Disagree? Final answer is:"
Flooding,Flood II,controversial,10,pos,ad,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings."" Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of about a week, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Rebecca is covered by the Flooding policy. Agree or Disagree? Final answer is:"
Garden Plants,Garden Plants I,unambiguous_uncovered,11,pos,ad,"Genie has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances."" Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants. Based on this definition, select your response to the following statement: Genie is covered by the Garden Plants policy. Agree or Disagree? Final answer is:"
Garden Plants,Garden Plants I,unambiguous_covered,11,pos,ad,"Genie has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances."" Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, they start picketing outside, and some of their picketing activities spill over to Genie's property. When the strikers inadvertently walk on Genie's plants, the plants die. Genie files a claim with her insurance company for the damage to her plants. Based on this definition, select your response to the following statement: Genie is covered by the Garden Plants policy. Agree or Disagree? Final answer is:"
Garden Plants,Garden Plants I,controversial,11,pos,ad,"Genie has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances."" Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie is unable to find the fertilizer within driving distance from her home or online. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants. Based on this definition, select your response to the following statement: Genie is covered by the Garden Plants policy. Agree or Disagree? Final answer is:"
Garden Plants,Garden Plants II,unambiguous_uncovered,12,pos,ad,"Margot has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals."" One day, while Margot is away from her home, her surveillance footage captures her neighbor's dog trampling her plants. Margot files a claim with her insurance company for the loss. Based on this definition, select your response to the following statement: Margot is covered by the Garden Plants policy. Agree or Disagree? Final answer is:"
Garden Plants,Garden Plants II,unambiguous_covered,12,pos,ad,"Margot has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals."" One day, while Margot is away from her home, her surveillance footage captures masked individuals trampling her plants. Margot files a claim with her insurance company for the loss. Based on this definition, select your response to the following statement: Margot is covered by the Garden Plants policy. Agree or Disagree? Final answer is:"
Garden Plants,Garden Plants II,controversial,12,pos,ad,"Margot has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals."" One day, while Margot is away from her home, her surveillance footage captures a neighbor's middle school-aged children trampling her plants. Margot files a claim with her insurance company for the loss. Based on this definition, select your response to the following statement: Margot is covered by the Garden Plants policy. Agree or Disagree? Final answer is:"
General Damages,General Damages,unambiguous_uncovered,13,pos,ad,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from ""missed employment due to injuries that occur under regular working conditions."" Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income. Based on this definition, select your response to the following statement: Gavin is covered by the General Damages policy. Agree or Disagree? Final answer is:"
General Damages,General Damages,unambiguous_covered,13,pos,ad,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from ""missed employment due to injuries that occur under regular working conditions."" Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income. Based on this definition, select your response to the following statement: Gavin is covered by the General Damages policy. Agree or Disagree? Final answer is:"
General Damages,General Damages,controversial,13,pos,ad,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from ""missed employment due to injuries that occur under regular working conditions."" Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income. Based on this definition, select your response to the following statement: Gavin is covered by the General Damages policy. Agree or Disagree? Final answer is:"
Hot Work,Hot Work I,unambiguous_uncovered,14,pos,ad,"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as ""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""  One day, Shannon is working on her motorcycle in her garage. As she does so, she smokes a cigarette. Suddenly, she drops the lit cigarette onto the floor, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Shannon is covered by the Hot Work policy. Agree or Disagree? Final answer is:"
Hot Work,Hot Work I,unambiguous_covered,14,pos,ad,"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as ""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""  One day, Shannon is working on her motorcycle in her garage. To repair her motorcycle, she uses a welding tool which produces a sizable flame. Suddenly, she drops the tool onto the floor, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Shannon is covered by the Hot Work policy. Agree or Disagree? Final answer is:"
Hot Work,Hot Work I,controversial,14,pos,ad,"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as ""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""  One day, Shannon is working on her motorcycle in her garage. To repair her motorcycle, she uses an air compressor powered by a gasoline engine. Suddenly, the compressor's engine overheats, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Shannon is covered by the Hot Work policy. Agree or Disagree? Final answer is:"
Hot Work,Hot Work II,unambiguous_uncovered,15,pos,ad,"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as ""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""  Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which severely warps the table's surface. Martha files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Martha is covered by the Hot Work policy. Agree or Disagree? Final answer is:"
Hot Work,Hot Work II,unambiguous_covered,15,pos,ad,"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as ""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""  Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the table to catch fire. Martha files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Martha is covered by the Hot Work policy. Agree or Disagree? Final answer is:"
Hot Work,Hot Work II,controversial,15,pos,ad,"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as ""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""  Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the surface of the table to burn but not catch fire. Martha files a claim with her insurance company for the damage. Based on this definition, select your response to the following statement: Martha is covered by the Hot Work policy. Agree or Disagree? Final answer is:"
House Removal,House Removal I,unambiguous_uncovered,16,pos,ad,"Denise's insurance covers damage from ""House Removal,"" defined as ""damage to belongings caused while being removed by professional removal contractors from the home."" Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.  Based on this definition, select your response to the following statement: Denise is covered by the House Removal policy. Agree or Disagree? Final answer is:"
House Removal,House Removal I,unambiguous_covered,16,pos,ad,"Denise's insurance covers damage from ""House Removal,"" defined as ""damage to belongings caused while being removed by professional removal contractors from the home."" Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.   Based on this definition, select your response to the following statement: Denise is covered by the House Removal policy. Agree or Disagree? Final answer is:"
House Removal,House Removal I,controversial,16,pos,ad,"Denise's insurance covers damage from ""House Removal,"" defined as ""damage to belongings caused while being removed by professional removal contractors from the home."" Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings. Based on this definition, select your response to the following statement: Denise is covered by the House Removal policy. Agree or Disagree? Final answer is:"
House Removal,House Removal II,unambiguous_uncovered,17,pos,ad,"Harper's insurance covers damage from ""House Removal,"" which includes ""damage to belongings that occurs while being stored by professional removal contractors."" Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks her cousin Bill to store some of her belongings at his house. A couple days before she is set to move in, Bill's house floods, which ruins the items that Bill was storing for Harper. Harper files a claim with her insurance company for the damage to her belongings. Based on this definition, select your response to the following statement: Harper is covered by the House Removal policy. Agree or Disagree? Final answer is:"
House Removal,House Removal II,unambiguous_covered,17,pos,ad,"Harper's insurance covers damage from ""House Removal,"" which includes ""damage to belongings that occurs while being stored by professional removal contractors."" Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks a professional moving company to store some of her belongings at the company warehouse. A couple days before she is set to move in, the warehouse floods, which ruins the items that the movers were storing for Harper. Harper files a claim with her insurance company for the damage to her belongings. Based on this definition, select your response to the following statement: Harper is covered by the House Removal policy. Agree or Disagree? Final answer is:"
House Removal,House Removal II,controversial,17,pos,ad,"Harper's insurance covers damage from ""House Removal,"" which includes ""damage to belongings that occurs while being stored by professional removal contractors."" Harper is moving to a new home on the other side of town. Because her old home has already sold and her new home is not yet ready for her to move in, she checks into a hotel and asks her cousin Bill -- who owns a moving company -- to store some of her belongings in his personal office. A couple days before she is set to move in, Bill's office floods, which ruins the items that Bill was storing for Harper. Harper files a claim with her insurance company for the damage to her belongings. Based on this definition, select your response to the following statement: Harper is covered by the House Removal policy. Agree or Disagree? Final answer is:"
Identity Theft,Identity Theft I,unambiguous_uncovered,18,pos,ad,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes ""identity theft connected with the policyholder's business."" Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate the computer network at Jason's car dealership. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses.  Based on this definition, select your response to the following statement: Jason is covered by the Identity Theft policy. Agree or Disagree? Final answer is:"
Identity Theft,Identity Theft I,unambiguous_covered,18,pos,ad,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes ""identity theft connected with the policyholder's business."" Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses.  Based on this definition, select your response to the following statement: Jason is covered by the Identity Theft policy. Agree or Disagree? Final answer is:"
Identity Theft,Identity Theft I,controversial,18,pos,ad,"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes ""identity theft connected with the policyholder's business."" Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's work laptop via his home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses.  Based on this definition, select your response to the following statement: Jason is covered by the Identity Theft policy. Agree or Disagree? Final answer is:"
