title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,yes_probs,YES_probs,No_probs,no_probs,NO_probs,A_probs,B_probs
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
Mariam's insurance company, however, does cover the damage caused by the oil leak. The company's policy states that ""the owner of the property is responsible for the repair or replacement of the heating installation.""
Mariam's insurance company also covers the damage caused by the oil leak. The policy",,-3.0035996437072754,-2.0035996437072754,-4.941099643707275,-2.5035996437072754,-2.0035996437072754,-4.816099643707275,-5.566099643707275,-8.691100120544434
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
Mariam's insurance company, however, does cover the damage caused by the oil lamp. The company's policy states that ""the owner of the oil lamp shall be responsible for the cost of repairing the oil lamp.""
Mariam's insurance company also covers the damage caused by the oil lamp. The",,-3.0339505672454834,-2.0339505672454834,-5.0339508056640625,-2.5339505672454834,-2.0339505672454834,-4.9714508056640625,-5.5339508056640625,-8.658950805664062
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Carol's insurance policy does not cover the damage to her home from the pipe that leaked.
Carol's insurance policy does not cover the damage to her home from the pipe that leaked.
Carol's insurance policy does not cover the damage to her home from the pipe that leaked.
",,-3.2879891395568848,-2.4754891395568848,-5.287989139556885,-2.5379891395568848,-1.9129891395568848,-4.725489139556885,-5.475489139556885,-8.412988662719727
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
Carol's insurance policy does not cover the damage to her bathroom wall.
Carol's insurance policy does not cover the damage to her bathroom wall.
Carol's insurance policy does not cover the damage to her bathroom wall.
Carol's insurance policy does not cover the damage to her",,-3.178976058959961,-2.428976058959961,-5.178976058959961,-2.428976058959961,-1.928976058959961,-4.616476058959961,-5.553976058959961,-8.428976058959961
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
Carol's insurance policy does not cover the damage to her home from the pipe leak.
Carol's insurance policy does not cover the damage to her home from the pipe leak.
Carol's insurance policy does not cover the damage to her home from the pipe leak.
Carol's",,-3.264587879180908,-2.452087879180908,-5.202087879180908,-2.514587879180908,-1.8895879983901978,-4.702087879180908,-5.514587879180908,-8.452088356018066
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how ""flow of water"" would be understood by ordinary speakers of English, is Miranda covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Miranda's insurance policy does not cover damage caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.
Miranda's policy does not cover damage caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe",,-3.111203670501709,-2.361203670501709,-5.361203670501709,-2.548703670501709,-1.986203670501709,-5.611203670501709,-5.111203670501709,-8.798704147338867
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how ""flow of water"" would be understood by ordinary speakers of English, is Miranda covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
Miranda's insurance policy does not cover the damage caused by the water leak, but it does cover the damage caused by the water itself. The insurance company pays for the repair, and Miranda pays for the water damage.
Miranda's insurance policy does not cover the damage caused by the water leak",,-3.192415237426758,-2.442415237426758,-5.379915237426758,-2.504915237426758,-1.9424152374267578,-5.692415237426758,-5.192415237426758,-8.817415237426758
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how ""flow of water"" would be understood by ordinary speakers of English, is Miranda covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
Miranda's insurance policy does not cover the damage caused by the leaky water cooler. The policy does not cover the damage caused by the water leaking through her walls. The policy does not cover the damage caused by the water leaking through her floor. The policy does not cover the damage caused by the",,-3.1655659675598145,-2.4155659675598145,-5.4155659675598145,-2.5405659675598145,-1.978066086769104,-5.6655659675598145,-5.1655659675598145,-8.853066444396973
Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how ""internal source"" would be understood by ordinary speakers of English, is Belinda covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Belinda's insurance policy does not cover the damage to her home from the ""Escape of Water"" damage.
Belinda's insurance policy does not cover the damage to her home from the ""Escape of Water"" damage.
Belinda's insurance policy does not cover the damage to her",,-2.8886988162994385,-2.2011988162994385,-5.263698577880859,-2.3886988162994385,-1.8886988162994385,-5.263698577880859,-5.513698577880859,-7.701198577880859
Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda uses the tub for a bath and fills the tub with water, but the tub suddenly cracks and begins to leak, causing water to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how ""internal source"" would be understood by ordinary speakers of English, is Belinda covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
Belinda's insurance policy does not cover the damage to her home caused by the ""Escape of Water"" damage.
Belinda's insurance policy does not cover the damage to her home caused by the ""Escape of Water"" damage.
Belinda's insurance policy does not cover the damage",,-2.872262954711914,-2.247262954711914,-5.309762954711914,-2.372262954711914,-1.934762954711914,-5.372262954711914,-5.497262954711914,-7.747262954711914
Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda fills the tub with tomato juice to give her dog a bath after being sprayed by a skunk, but the tub suddenly cracks and begins to leak, causing the tomato juice to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how ""internal source"" would be understood by ordinary speakers of English, is Belinda covered by the insurance—yes or no? Final answer is:",controversial, no," no.
Belinda's insurance policy does not cover the damage to her home caused by a skunk.
Belinda's insurance policy does not cover the damage to her home caused by a skunk.
Belinda's insurance policy does not cover the damage to her home caused by a skunk.
Bel",,-2.844888687133789,-2.157388687133789,-5.344888687133789,-2.344888687133789,-1.907388687133789,-5.282388687133789,-5.532388687133789,-7.657388687133789
Fire,yes_or_no,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire."" 
Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.
Considering just how ""naturally occuring fire"" would be understood by ordinary speakers of English, is Fatema covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Fatema's insurance company, however, does cover the damage to her garage. The insurance company's policy states that ""the owner of the property is responsible for the cost of repairing the damage caused by the natural occurrence of fire.""
The insurance company's policy also states that ""the owner of the",,-3.1321487426757812,-2.1946487426757812,-5.507148742675781,-2.3196487426757812,-2.0071487426757812,-4.819648742675781,-5.694648742675781,-8.382148742675781
Fire,yes_or_no,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire."" 
Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage.
Considering just how ""naturally occuring fire"" would be understood by ordinary speakers of English, is Fatema covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The insurance company's claim is denied. Fatema's insurance company then pays for the damage to the garage.
Fatema's insurance company is not the only one who has been denied coverage for the fire. In fact, the insurance company's claim is denied by the insurance company's insurance agent.
",,-3.1279852390289307,-2.1904852390289307,-5.440485000610352,-2.3154852390289307,-2.0029852390289307,-4.752985000610352,-5.690485000610352,-8.377985000610352
Fire,yes_or_no,"Fatema's home insurance covers ""Fire"" damage, defined as ""damage to the policyholder's property caused by naturally-occurring fire."" 
Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.
Considering just how ""naturally occuring fire"" would be understood by ordinary speakers of English, is Fatema covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
Fatema's insurance company, however, does cover her for the damage to her garage. The insurance company's policy states that ""the owner of the property is responsible for the damage to the property caused by the natural occurrence of fire.""
The insurance company's policy also states that ""the owner of",,-3.1501781940460205,-2.1501781940460205,-5.462677955627441,-2.3376781940460205,-2.0251781940460205,-4.712677955627441,-5.712677955627441,-8.337677955627441
Flood I,yes_or_no,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""
Charlotte lives alone in a one-story home. One day, the waterbed in her bedroom begins to leak, causing a large volume of water to suddenly seep through her floors. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.
Considering just how ""outside the building"" would be understood by ordinary speakers of English, is Charlotte covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The insurance company's claim is denied. Charlotte's insurance company then files a claim with the state of North Carolina for damages to her home. The state's insurance department determines that the damage to Charlotte's home is not covered by the insurance.
The state's insurance department then determines that the damage to Charlotte",,-2.848801612854004,-2.036301612854004,-4.598801612854004,-2.348801612854004,-1.5988017320632935,-4.723801612854004,-5.848801612854004,-8.973801612854004
Flood I,yes_or_no,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""
Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.
Considering just how ""outside the building"" would be understood by ordinary speakers of English, is Charlotte covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The insurance company's claim is denied. Charlotte's insurance company then files a claim with the state of North Carolina for damages to her home. The state's insurance company, however, does not consider the damage to be ""flooding"" because the water is not coming from outside the building.
The",,-2.825758457183838,-2.075758457183838,-4.575758457183838,-2.325758457183838,-1.6382585763931274,-4.700758457183838,-5.825758457183838,-8.888258934020996
Flood I,yes_or_no,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""
Charlotte lives alone in a one-story home. One day, one of the rain barrels that she keeps next to her home begins to leak, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage.
Considering just how ""outside the building"" would be understood by ordinary speakers of English, is Charlotte covered by the insurance—yes or no? Final answer is:",controversial, no," no.
The insurance company is not required to pay for damage caused by flooding, but it does have to pay for the cost of repairing the damage. The insurance company is required to pay for the cost of repairing the damage, but it is not required to pay for the cost of repairing the damage.
The insurance",,-2.793222188949585,-1.980722188949585,-4.480722427368164,-2.355722188949585,-1.605722188949585,-4.668222427368164,-5.918222427368164,-8.980722427368164
Flood II,yes_or_no,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""
Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of several years, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.
Considering just how ""rapid build-up"" would be understood by ordinary speakers of English, is Rebecca covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The insurance company's response to Rebecca's claim is that the water level in her basement is ""not a flood hazard."" The insurance company's response to Rebecca's claim is that the water level in her basement is ""not a flood hazard.""
The insurance company's response to Rebecca's claim is that the",,-3.05207896232605,-2.05207896232605,-4.489579200744629,-2.48957896232605,-1.7395789623260498,-4.927079200744629,-5.802079200744629,-8.864579200744629
Flood II,yes_or_no,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""
Rebecca lives in a house situated next to a small creek. The water level of the creek quickly rises over the course of a few hours during a storm, and Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.
Considering just how ""rapid build-up"" would be understood by ordinary speakers of English, is Rebecca covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The insurance company's response to Rebecca's claim is that the water level in her basement is ""not a flood hazard."" The insurance company's response to Rebecca's claim is that the water level in her basement is ""not a flood hazard.""
The insurance company's response to Rebecca's claim is that the",,-3.0425901412963867,-1.9800900220870972,-4.417590141296387,-2.4800901412963867,-1.7300900220870972,-4.917590141296387,-5.792590141296387,-8.917590141296387
Flood II,yes_or_no,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as ""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""
Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of about a week, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage.
Considering just how ""rapid build-up"" would be understood by ordinary speakers of English, is Rebecca covered by the insurance—yes or no? Final answer is:",controversial, no," no.
The insurance company is not required to pay for the damage, but it does pay for the cost of repairing the damage.
The insurance company is not required to pay for the damage, but it does pay for the cost of repairing the damage.
The insurance company is not required to pay for the damage",,-3.0652894973754883,-2.0652894973754883,-4.502789497375488,-2.5027894973754883,-1.6902894973754883,-5.002789497375488,-5.815289497375488,-8.877789497375488
Garden Plants I,yes_or_no,"Genie has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""
Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants.
Considering just how ""political disturbance"" would be understood by ordinary speakers of English, is Genie covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes.
Genie's insurance company, however, is not happy with Genie's decision to file a claim for garden damage. Genie's insurance company is concerned that Genie's insurance company will not pay for the damage to her plants, and that Genie's insurance company will not pay for the damage to her insurance policy.",,-2.6798698902130127,-1.8048698902130127,-3.9923698902130127,-2.4923698902130127,-1.9298698902130127,-5.117369651794434,-5.742369651794434,-8.742369651794434
Garden Plants I,yes_or_no,"Genie has home insurance that covers ""Garden Plants"" damage, defined as ""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""
Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, they start picketing outside, and some of their picketing activities spill over to Genie's property. When the strikers inadvertently walk on Genie's plants, the plants die. Genie files a claim with her insurance company for the damage to her plants.
Considering just how ""political disturbance"" would be understood by ordinary speakers of English, is Genie covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
Genie's insurance company, however, does cover the damage to her garden plants. Genie's insurance company also covers the damage to her property, but Genie's insurance company does not cover the damage to her property caused by the strike. Genie's insurance company does cover the damage to her property caused by the",,-2.8846795558929443,-1.9471795558929443,-4.197179794311523,-2.5096795558929443,-1.8221795558929443,-5.072179794311523,-5.697179794311523,-8.697179794311523
